State, Candidate Number, Money (R$ Reais), Votes
BA , 4434 , 2513.85 , 264
BA , 2808 , 0.00 , 48
BA , 5116 , 2538.20 , 0
BA , 4431 , 0.00 , 288
BA , 4433 , 0.00 , 1086
BA , 5138 , 4690.60 , 3141
BA , 5158 , 0.00 , 33
BA , 7017 , 0.00 , 532
BA , 2800 , 4066.20 , 767
BA , 2801 , 0.00 , 322
BA , 4343 , 785542.40 , 22782
BA , 7013 , 0.00 , 157
BA , 1900 , 0.00 , 817
BA , 2882 , 19994.78 , 2847
BA , 3699 , 228.00 , 393
BA , 2880 , 1696.00 , 66
BA , 7712 , 3792396.11 , 95698
BA , 1980 , 1700.00 , 2623
BA , 3690 , 0.00 , 5667
BA , 2888 , 25872.24 , 7449
BA , 2562 , 0.00 , 431
BA , 1988 , 300.00 , 0
BA , 4533 , 112103.89 , 9557
BA , 5151 , 6500.00 , 0
BA , 7070 , 0.00 , 0
BA , 2708 , 0.00 , 207
BA , 5454 , 104367.08 , 7306
BA , 4323 , 71716.60 , 2428
BA , 5020 , 250.00 , 0
BA , 1212 , 58486.05 , 12242
BA , 1213 , 14267.91 , 1384
BA , 3601 , 0.00 , 687
BA , 5152 , 0.00 , 392
BA , 3615 , 3274.00 , 933
BA , 2810 , 0.00 , 63
BA , 2580 , 466593.60 , 16908
BA , 5021 , 2111.62 , 1523
BA , 4325 , 16348.00 , 1376
BA , 4322 , 1840.00 , 1565
BA , 5133 , 132629.51 , 18063
BA , 2044 , 0.00 , 670
BA , 2588 , 76980.19 , 24823
BA , 5555 , 0.00 , 12677
BA , 4441 , 0.00 , 141
BA , 5155 , 2714.90 , 600
BA , 6522 , 1031797.27 , 72682
BA , 1593 , 11739.71 , 1207
BA , 1911 , 0.00 , 2459
BA , 7000 , 1448.00 , 132
BA , 5100 , 23523.64 , 1734
BA , 1914 , 0.00 , 0
BA , 3177 , 0.00 , 0
BA , 5017 , 250.00 , 27
BA , 1620 , 6656.31 , 7263
BA , 2899 , 0.00 , 238
BA , 3604 , 228.00 , 71
BA , 1022 , 27947.30 , 0
BA , 4077 , 1954.82 , 1199
BA , 4404 , 0.00 , 988
BA , 4450 , 0.00 , 160
BA , 2020 , 304002.40 , 161438
BA , 1518 , 2424687.46 , 222164
BA , 2022 , 13153.40 , 718
BA , 4423 , 0.00 , 570
BA , 1515 , 424412.46 , 6241
BA , 5022 , 0.00 , 287
BA , 1516 , 5414.69 , 1609
BA , 2510 , 0.00 , 518
BA , 1510 , 660866.00 , 57362
BA , 1512 , 4900.00 , 2749
BA , 5115 , 0.00 , 975
BA , 2815 , 0.00 , 392
BA , 3114 , 0.00 , 0
BA , 2864 , 0.00 , 387
BA , 5110 , 12800.00 , 2341
BA , 3602 , 0.00 , 132
BA , 3636 , 58329.63 , 6189
BA , 3637 , 149074.63 , 39904
BA , 5119 , 150.00 , 609
BA , 1359 , 0.00 , 194
BA , 3131 , 0.00 , 0
BA , 4452 , 0.00 , 277
BA , 3600 , 0.00 , 5008
BA , 4456 , 1948.00 , 1016
BA , 4455 , 0.00 , 698
BA , 5529 , 398045.82 , 77045
BA , 5528 , 996833.13 , 66215
BA , 1090 , 8493.98 , 478
